location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Purvi Patel Nagar, Dehradun, Uttaranchal",Honda,City,2008-2011 1.5 S MT,2009,"52,000 km",Petrol,Manual,Silver,1st,UK,No Insurance,"₹ 3,00,000"
"Race Course, Dehradun, Uttaranchal",Tata,Safari,EX 4x2,2009,"77,000 km",Diesel,Manual,White,1st,UK,Not Available,"₹ 2,10,000"
"Race Course, Dehradun, Uttaranchal",Volkswagen,Ameo,Not Available,2017,"57,000 km",Petrol,Manual,Blue,1st,UK,Comprehensive,"₹ 4,50,000"
"Rajpur Road, Dehradun, Uttaranchal",Toyota,Innova Crysta,2.8 ZX AT,2018,"16,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 25,00,000"
"Harbans Wala, Dehradun, Uttaranchal",Maruti Suzuki,Ritz,ZXi,2013,"79,000 km",Petrol,Automatic,White,3rd,UK,Comprehensive,"₹ 3,20,000"
"Harbans Wala, Dehradun, Uttaranchal",Honda,Brio,2011-2013 S MT,2013,"45,000 km",Petrol,Manual,Blue,1st,UK,Third Party,"₹ 3,00,000"
"Jakhan, Dehradun, Uttaranchal",Ford,Freestyle,Titanium Petrol,2021,"6,900 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,75,000"
"Harbans Wala, Dehradun, Uttaranchal",Volkswagen,Polo,1.2 MPI Trendline,2013,"81,000 km",Diesel,Manual,White,3rd,UK,Third Party,"₹ 2,75,000"
"Harbans Wala, Dehradun, Uttaranchal",Mahindra,TUV 300,T8,2018,"36,000 km",Diesel,Manual,White,1st,UK,Comprehensive,"₹ 7,50,000"
"Gandhi Park, Dehradun, Uttaranchal",Renault,Duster,110PS Diesel RxZ,2013,"78,000 km",Diesel,Manual,Brown,Not Available,UK,Not Available,"₹ 4,25,000"
"Mehunwala, Dehradun, Uttaranchal",Hyundai,i10,Era,2011,"100,000 km",Petrol,Manual,Red,1st,UK,No Insurance,"₹ 1,90,000"
"Mehunwala, Dehradun, Uttaranchal",Honda,Mobilio,V i-DTEC,2015,"76,000 km",Diesel,Manual,Silver,1st,UK,Comprehensive,"₹ 4,75,000"
"Mehunwala, Dehradun, Uttaranchal",Maruti Suzuki,Celerio,2014-2017 VXI,2016,"53,000 km",Petrol,Manual,White,1st,UK,Comprehensive,"₹ 3,45,000"
"Rajpur Road, Dehradun, Uttaranchal",Ford,Figo,Not Available,2011,"68,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Race Course, Dehradun, Uttaranchal",Honda,City,2011-2013 V MT,2012,"64,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,10,000"
"Badowala, Dehradun, Uttaranchal",Mahindra,Bolero,2001-2010 DI DX 7 Seater,2011,"97,000 km",Diesel,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Qureshyaan Colony, Vikasnagar, Uttaranchal",Other Brands,Others,Not Available,2012,"90,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Gandhi Gram, Dehradun, Uttaranchal",Tata,Indica Vista,2008-2013 Terra 1.4 TDI,2009,"55,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,25,000"
"Mehunwala, Dehradun, Uttaranchal",Ford,Ecosport,1.5 Diesel Trend,2015,"74,000 km",Diesel,Manual,Silver,1st,UK,No Insurance,"₹ 5,40,000"
"Ballupura, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,Duo LXi LPG,2008,90 km,Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,40,000"
"Vidya Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire Tour,LDI,2019,"25,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,95,000"
"Mahadev Vihar, Dehradun, Uttaranchal",Mahindra,Thar,CRDE 4X4 BS IV,2017,"14,400 km",Diesel,Manual,Red,2nd,UK,Third Party,"₹ 8,21,000"
"Shakti Vihar, Dehradun, Uttaranchal",Honda,City,2003-2005 1.5 GXI,2004,"51,000 km",Petrol,Manual,Gold,3rd,UK,Third Party,"₹ 1,35,000"
"MDDA Colony, Dehradun, Uttaranchal",Tata,Manza,Club Class Quadrajet90 EXL,2014,"75,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,60,000"
"Landour, Mussoorie, Uttaranchal",Maruti Suzuki,Alto,2005-2010 LX BSIII,2007,"50,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Canal Road, Dehradun, Uttaranchal",Maruti Suzuki,Zen Estilo,LXI BS IV,2007,"110,900 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 85,000"
"Matawala Bagh, Dehradun, Uttaranchal",Mercedes-Benz,CLA,Not Available,2005,"80,000 km",Diesel,Automatic,Red,2nd,UK,Comprehensive,"₹ 7,00,000"
"Lakshman Pur, Vikasnagar, Uttaranchal",Maruti Suzuki,Alto,LXi,2009,"80,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,20,000"
